latitude,longitude,#beds,#baths,#square_feet,elevator,doorman,unit#,stories#,complex,#beds_mv,#baths_mv,#square_feet_mv,stories#_mv,BUILD_YEAR(1800-1900),BUILD_YEAR(1900-2000),BUILD_YEAR(2000-2019),price
40.7578,-73.9668,2,1,1292.89797687861,1,0,406,30,0,1,0,1,0,0,1,0,465000
40.741,-73.9971,2,2,1051,1,0,26,12,0,0,0,0,0,0,0,1,2495000
40.7846,-73.9712,2,1,1000,1,0,86,11,0,0,0,0,0,0,1,0,1095000
40.7764,-73.9771,2,1,1292.89797687861,1,0,174,31,0,1,0,1,0,0,1,0,499000
40.7305,-73.9931,2,1,1292.89797687861,1,1,389,31,0,0,0,1,0,0,1,0,2195000
40.7079,-74.0172,2,1,765,1,0,163,9,0,0,0,0,0,0,1,0,728000
40.7715,-73.9514,3,2,1300,1,0,219,16,0,0,0,0,0,0,1,0,1639000
40.7408,-73.9889,1,1,611,1,0,423,29,0,0,0,0,0,0,1,0,1325000
40.7702,-73.9552,1,1,1292.89797687861,1,0,123,14,0,0,0,1,0,0,1,0,810000
40.7735,-73.9789,2,1.5,1292.89797687861,1,0,119,17,0,0,0,1,0,0,1,0,4250000
40.77357,-73.9574,1,1,1292.89797687861,1,0,218,20,0,0,0,1,0,0,1,0,875000
40.7645,-73.9744,1,1,941,1,1,282,20,0,0,0,0,0,0,1,0,2495000
40.79576,-73.9698,1,1,1292.89797687861,1,0,31,6,0,0,0,1,0,0,1,0,535000
40.7592,-73.9662,3,3.5,2993,1,1,95,65,0,0,0,0,0,0,0,1,8875000
40.8028,-73.9361,1,1,745,1,0,13,7,0,0,0,0,0,0,0,1,575000
40.7844,-73.9567,3,4,1292.89797687861,1,0,43,16,0,0,0,1,0,0,1,0,4200000
40.7932,-73.9645,1,1,1292.89797687861,1,0,413,19,0,0,0,1,0,0,1,0,1100000
40.7069,-74.0172,2,2,1356,1,0,247,33,0,0,0,0,0,0,0,1,1950000
40.7773,-73.9435,1,1,950,1,0,189,16,0,0,0,0,0,0,1,0,979000
40.7058,-74.0093,2,1,593,1,0,107,9,0,1,0,0,0,1,0,0,649000
40.7423,-73.9839,1,1,1292.89797687861,1,0,10,6,0,0,0,1,0,0,1,0,950000
40.7537,-73.9977,2,1,1292.89797687861,1,0,178,17,0,1,0,1,0,0,1,0,469000
40.7475,-73.9815,2,1,1292.89797687861,1,0,268,26,0,1,0,1,0,0,1,0,500000
40.72237,-74.0011,2,2,1292.89797687861,1,0,4,5,0,0,0,1,0,0,1,0,3200000
40.762,-73.9998,2,1,784,1,0,500,46,0,0,0,0,0,0,0,1,1200000
40.7275,-73.9893,2,1,1292.89797687861,1,0,31,6,0,1,0,1,0,0,1,0,470000
40.7332,-73.9855,2,1,1292.89797687861,1,0,175,14,0,1,0,1,0,0,1,0,499000
40.7333,-73.9918,1,1,700,1,0,44,10,0,0,0,0,0,0,1,0,1250000
40.8269,-73.9442,2,1.5,1292.89797687861,1,0,29,6,0,0,0,1,0,0,1,0,700000
40.744,-73.9981,1,1,1292.89797687861,1,0,23,5,0,0,0,1,0,0,1,0,950000
40.7701,-73.9501,3,2,1292.89797687861,0,0,384,6,0,0,0,1,0,0,1,0,950000
40.7085,-74.0164,1,1,662,1,0,545,46,0,0,0,0,0,0,1,0,799000
40.7632,-73.9621,2,1,1292.89797687861,1,0,166,16,0,1,0,1,0,0,1,0,283000
40.7714,-73.9519,2,1,1292.89797687861,0,0,16,4,0,1,0,1,0,0,1,0,349000
40.7705,-73.9833,1,1,760,1,0,94,27,0,0,0,0,0,0,1,0,925000
40.76289,-73.9881,1,1,625,1,0,455,39,0,0,0,0,0,0,1,0,948000
40.867,-73.9251,2,2,1150,0,0,61,6,0,0,0,0,0,0,1,0,625000
40.8188,-73.9458,3,8,3672,0,0,8,3,0,0,0,0,0,0,1,0,1800000
40.867,-73.9251,2,1,1292.89797687861,0,0,61,6,0,0,0,1,0,0,1,0,499000
40.7602,-73.9956,2,1,415,1,0,311,41,0,1,0,0,0,0,1,0,599000
40.77174,-73.9466,1,1,1292.89797687861,1,0,104,20,0,0,0,1,0,0,1,0,745000
40.7557,-73.9659,1,1,1292.89797687861,1,0,100,13,0,0,0,1,0,0,1,0,825000
40.7341,-74.0086,3,3.5,2321,1,1,91,15,0,0,0,0,0,0,0,1,6100000
40.77605,-73.9577,1,1,800,1,0,83,12,0,0,0,0,0,0,1,0,875000
40.77974,-73.9797,1,1.5,1292.89797687861,1,0,43,9,0,0,0,1,0,0,1,0,849000
40.7089,-74.0175,1,1,665,1,0,153,9,0,0,0,0,0,0,1,0,665000
40.7757,-73.9551,1,1,1292.89797687861,0,0,20,5,0,0,0,1,0,0,1,0,465000
40.7549,-73.9642,1,1,1292.89797687861,1,0,287,19,0,0,0,1,0,0,1,0,799000
40.8005,-73.9474,2,2,1046,1,0,129,8,0,0,0,0,0,0,0,1,960000
40.7689,-73.9601,5,3.5,3060,0,0,3,4,0,0,0,0,0,0,1,0,3845000
40.7473,-73.9836,2,2.5,1479,1,1,72,33,0,0,0,0,0,0,0,1,3200000
40.7749,-73.9558,2,1,649,1,0,145,13,0,1,0,0,0,0,1,0,740000
40.7502,-73.9705,2,1,1292.89797687861,1,0,143,10,0,1,0,1,0,0,1,0,280000
40.7541,-73.9635,2,2,1200,1,0,51,11,0,0,0,0,0,0,1,0,1289000
40.7791,-73.9473,2,1,1292.89797687861,1,0,128,23,0,1,0,1,0,0,1,0,599000
40.8589,-73.9323,2,1,1292.89797687861,0,0,0,5,0,0,0,1,1,0,0,0,599000
40.7576,-73.9646,2,1,1292.89797687861,1,0,114,14,0,1,0,1,0,0,1,0,449000
40.7618,-73.9586,1,1,1292.89797687861,1,0,0,20,0,0,0,1,1,0,0,0,815000
40.7417,-73.9763,1,1,806,0,1,0,5,0,0,0,0,1,0,0,0,899000
40.7898,-73.9784,4,2.5,1292.89797687861,1,0,36,9,0,0,0,1,0,0,1,0,3595000
40.75509,-73.9675,2,2,1292.89797687861,0,0,5,5,0,0,0,1,0,0,1,0,1085000
40.7772,-73.9873,1,1,1292.89797687861,1,0,403,28,0,0,0,1,0,0,1,0,869000
40.7467,-73.9758,2,1,1292.89797687861,1,0,286,21,0,1,0,1,0,0,1,0,410000
40.7702,-73.9523,2,1,1292.89797687861,1,0,37,6,0,1,0,1,0,0,1,0,359000
40.7578,-73.9668,2,1,500,1,0,406,30,0,1,0,0,0,0,1,0,458000
40.774,-73.9559,1,1,1292.89797687861,1,0,80,17,0,0,0,1,0,0,1,0,599000
40.7911,-73.9785,2,2,1250,1,0,52,9,0,0,0,0,0,0,1,0,1450000
40.85708,-73.9361,2,1,1000,1,0,217,15,0,0,0,0,0,0,1,0,749000
40.7494,-73.9699,2,1,1292.89797687861,1,0,403,25,0,1,0,1,0,0,1,0,325000
40.7689,-73.9842,1,1,1292.89797687861,1,0,608,14,0,0,0,1,0,0,1,0,759000
40.7492,-73.9715,1,1,1292.89797687861,1,0,459,32,0,0,0,1,0,0,1,0,520000
40.7715,-73.9541,3,1.5,1292.89797687861,1,0,60,6,0,0,0,1,0,0,1,0,1195000
40.74216,-73.9963,1,1,700,0,0,60,6,0,0,0,0,0,0,1,0,818000
40.7843,-73.9726,2,2,1292.89797687861,0,0,7,4,0,0,0,1,0,0,1,0,1650000
40.7718,-73.954,2,1,615,0,0,10,5,0,0,0,0,0,0,1,0,599000
40.7479,-73.9709,1,1,1292.89797687861,1,0,788,26,0,0,0,1,0,0,1,0,680000
40.7163,-74.0105,2,1,537,1,0,79,11,0,1,0,0,0,0,1,0,799000
40.7975,-73.9618,3,2,1292.89797687861,0,0,2,3,0,0,0,1,0,0,1,0,799000
40.77767,-73.9768,2,2,1292.89797687861,1,0,251,15,0,0,0,1,0,0,1,0,1795000
40.78257,-73.977,2,2,933,1,0,148,33,0,0,0,0,0,0,1,0,1995000
40.73017,-73.9819,2,2,1047,1,0,84,8,0,0,0,0,0,0,0,1,1725000
40.709,-74.0073,1,1.5,964,1,0,73,13,0,0,0,0,0,0,1,0,1095000
40.7602,-73.9956,1,1,765,1,0,311,41,0,0,0,0,0,0,1,0,970000
40.7636,-73.986,2,2,989,1,0,215,42,0,0,0,0,0,0,0,1,1595000
40.7249,-74.0087,2,2.5,1481,1,0,31,11,0,0,0,0,0,0,0,1,2995000
40.7871,-73.9745,5,4.5,4000,1,0,36,21,0,0,0,0,0,0,1,0,6900000
40.7769,-73.955,1,1,1292.89797687861,1,0,115,18,0,0,0,1,0,0,1,0,699000
40.7807,-73.9791,1,1,1292.89797687861,1,0,41,6,0,0,0,1,0,0,1,0,599000
40.76517,-73.9699,1,1,897,1,0,100,16,0,0,0,0,0,0,1,0,1450000
40.7281,-73.9996,2,1,1292.89797687861,1,0,144,9,0,1,0,1,0,0,1,0,739900
40.7524,-73.9658,4,5,3300,1,0,169,38,0,0,0,0,0,0,1,0,3695000
40.7312,-73.9927,1,1,1292.89797687861,1,0,214,6,0,0,0,1,0,0,1,0,950000
40.7914,-73.9735,2,1,1200,1,0,94,13,0,0,0,0,0,0,1,0,1575000
40.7085,-74.0164,2,1,766,1,0,545,46,0,0,0,0,0,0,1,0,1025000
40.7889,-73.9547,4,3,1292.89797687861,1,0,54,15,0,0,0,1,0,0,1,0,3750000
